,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,sale_type,saleprice
10,160,RM,21.0,1680,Pave,4,Lvl,4,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,3,Y,5,504,0,987,0.0,0.0,1,1,2,1,3,8,0,Detchd,1971,Unf,264.0,TA,TA,Y,0,0,0,0,0,0,0,7,COD,85400
11,20,RL,64.0,7488,Pave,3,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,5,Y,5,0,0,1208,0.0,0.0,2,0,2,1,4,8,0,Attchd,2005,RFn,632.0,TA,TA,Y,105,58,0,0,0,0,0,2,WD ,183600
12,70,RL,120.0,26400,Pave,4,Bnk,4,FR2,1,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,Y,5,728,0,2016,0.0,0.0,1,0,4,1,3,5,1,Attchd,1900,Unf,576.0,TA,TA,P,0,0,0,0,0,0,0,6,WD ,131000
13,160,FV,24.0,2645,Pave,4,Lvl,4,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,5,Y,5,645,0,1607,1.0,0.0,2,1,3,1,4,8,0,Detchd,2000,Unf,480.0,TA,TA,Y,169,0,0,0,0,0,0,12,ConLD,200000
14,20,RL,74.0,9627,Pave,4,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,5,Y,5,0,0,1361,0.0,0.0,2,0,3,1,4,8,0,Attchd,2007,RFn,610.0,TA,TA,Y,0,50,0,0,0,0,0,6,WD ,193000
15,20,RL,93.0,10114,Pave,4,Lvl,4,Inside,1,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,5,Y,5,0,0,1430,0.0,0.0,2,0,3,1,4,8,0,Attchd,2004,RFn,624.0,TA,TA,Y,0,0,0,0,0,0,0,3,WD ,173500
16,70,RM,34.0,4571,Pave,4,Lvl,4,Inside,1,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,2,N,5,720,0,1344,0.0,0.0,1,0,4,1,3,8,0,Detchd,1916,Unf,513.0,Fa,Fa,Y,0,0,96,0,0,0,0,5,COD,98000
17,20,RL,80.0,8816,Pave,4,Lvl,4,Corner,1,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,GasA,3,Y,5,0,0,1121,1.0,0.0,1,0,3,1,3,8,0,Detchd,1963,Unf,480.0,TA,TA,Y,0,80,0,0,0,0,0,6,WD ,139000
18,20,RL,71.0,8197,Pave,4,Lvl,4,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,GasA,5,Y,5,0,0,1285,0.0,0.0,1,1,3,1,3,8,1,Attchd,1977,RFn,528.0,TA,TA,Y,138,0,0,0,0,0,0,4,WD ,143500
19,60,FV,72.0,8640,Pave,4,Lvl,4,Inside,1,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,5,Y,5,783,0,1547,0.0,0.0,2,1,3,1,4,8,0,Attchd,2009,Unf,614.0,TA,TA,Y,169,45,0,0,0,0,0,6,Con,215200
20,20,RL,109.0,8724,Pave,4,Lvl,4,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,GasA,4,Y,5,0,0,894,0.0,0.0,1,0,3,1,3,8,1,Attchd,1968,Fin,450.0,TA,TA,Y,0,0,0,0,0,0,0,5,WD ,129000
21,120,RL,40.0,5664,Pave,3,Lvl,4,Inside,1,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,GasA,5,Y,5,0,0,1659,1.0,0.0,2,0,2,1,5,8,1,Attchd,2000,Fin,499.0,TA,TA,Y,212,59,0,0,0,0,0,10,WD ,278000
22,60,RL,103.0,12867,Pave,3,Lvl,4,Corner,1,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,GasA,5,Y,5,1044,0,2253,0.0,0.0,2,1,3,1,5,8,1,Attchd,2005,Fin,575.0,TA,TA,Y,243,142,0,0,0,0,0,7,New,344133
23,20,RL,66.759571,7980,Pave,3,Lvl,4,Inside,1,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,Y,5,0,0,1187,1.0,0.0,2,0,3,1,3,8,0,Attchd,1992,Fin,420.0,TA,TA,Y,483,21,0,0,0,0,500,3,WD ,185000
24,190,RL,100.0,34650,Pave,4,Bnk,4,Inside,1,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,GasA,3,N,5,0,0,1056,1.0,0.0,1,0,3,1,3,8,0,Attchd,1955,Fin,572.0,TA,TA,Y,264,0,0,0,0,0,0,1,WD ,145000
25,20,RL,92.0,10573,Pave,3,Lvl,4,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,GasA,5,Y,5,0,0,1453,1.0,0.0,2,0,3,1,3,8,1,Attchd,1961,RFn,530.0,TA,TA,Y,0,49,0,0,288,0,0,4,WD ,187500
26,20,RL,65.0,8450,Pave,4,Lvl,4,Inside,1,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,GasA,5,Y,5,0,0,894,1.0,0.0,1,0,3,1,3,8,1,Detchd,1973,Unf,336.0,TA,TA,Y,416,144,0,0,0,0,0,4,WD ,138500
27,50,RL,66.759571,11700,Pave,3,HLS,4,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,GasA,5,Y,5,673,0,1938,0.0,0.0,2,0,4,1,4,6,1,Detchd,1937,Unf,240.0,TA,TA,Y,0,40,0,0,0,0,0,7,WD ,198000
28,190,C (all),75.0,8250,Pave,4,Lvl,4,Inside,1,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,GasA,2,N,5,957,0,1991,0.0,0.0,2,0,4,2,3,8,0,NA,NA,NA,0.0,NA,NA,N,0,0,133,0,0,0,0,6,WD ,119600
29,50,RL,60.0,8064,Pave,4,Lvl,4,Corner,1,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,0.0,672.0,672.0,GasA,5,Y,5,252,0,924,0.0,0.0,1,0,3,1,3,8,1,Detchd,2003,Unf,576.0,TA,TA,Y,0,0,0,0,0,0,2000,7,WD ,122900
30,20,RL,80.0,9600,Pave,4,Lvl,4,Inside,1,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,GasA,3,Y,5,0,0,2524,1.0,0.0,2,1,4,1,4,8,1,Attchd,1981,Fin,542.0,TA,TA,Y,474,120,0,0,0,0,0,7,WD ,278000
31,70,RL,83.25,11435,Pave,3,HLS,4,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,792.0,792.0,GasA,2,Y,5,725,0,1517,0.0,0.0,1,0,3,1,4,8,2,Detchd,1931,Unf,400.0,TA,TA,Y,0,0,0,0,0,0,0,6,WD ,230000
32,120,RL,30.0,9549,Pave,3,Lvl,4,CulDSac,1,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,GasA,5,Y,5,0,0,1494,1.0,0.0,1,1,2,1,5,8,1,Attchd,1995,Fin,481.0,TA,TA,Y,0,30,0,0,216,0,0,4,WD ,270000
33,20,RL,60.0,10950,Pave,4,Lvl,4,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,0.0,507.0,948.0,GasA,3,Y,5,0,0,948,0.0,0.0,1,0,2,1,3,8,0,Detchd,1952,Unf,410.0,TA,TA,N,0,48,0,0,0,0,0,4,WD ,125000
34,20,RL,79.0,10637,Pave,4,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,GasA,5,Y,5,0,0,1718,1.0,0.0,2,0,3,1,4,8,1,Attchd,2007,RFn,826.0,TA,TA,Y,208,44,0,0,0,0,0,9,WD ,297000
35,20,RL,80.0,9000,Pave,3,HLS,4,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,0.0,160.0,160.0,GasA,2,Y,5,0,0,1142,0.0,0.0,1,0,2,1,3,8,1,Basment,1958,RFn,384.0,TA,TA,Y,0,28,64,0,0,0,0,4,WD ,113500
36,160,RM,41.0,2665,Pave,4,Lvl,4,Inside,1,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,173.0,36.0,757.0,GasA,5,Y,5,550,0,1475,0.0,0.0,2,0,4,1,3,8,1,Attchd,1977,RFn,336.0,TA,TA,Y,104,26,0,0,0,0,0,7,WD ,127000
37,20,RL,105.0,11751,Pave,3,Lvl,4,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,Y,5,0,0,1844,0.0,0.0,2,0,3,1,3,8,1,Attchd,1977,RFn,546.0,TA,TA,Y,0,122,0,0,0,0,0,1,COD,190000
38,20,RL,80.0,9600,Pave,4,Lvl,4,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,0.0,326.0,1242.0,GasA,2,Y,5,0,0,1242,0.0,0.0,1,1,3,1,3,8,1,Attchd,1973,Unf,528.0,TA,TA,Y,0,0,0,0,0,0,0,9,WD ,175500
39,20,RL,60.0,8428,Pave,2,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,0.0,570.0,990.0,GasA,5,Y,5,0,0,990,1.0,0.0,1,0,3,1,3,8,0,Detchd,1995,Unf,384.0,TA,TA,Y,256,0,0,0,0,0,0,7,WD ,146000
40,20,RL,75.0,9937,Pave,4,Lvl,4,Inside,1,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,290.0,136.0,1256.0,GasA,4,Y,5,0,0,1256,1.0,0.0,1,1,3,1,3,8,0,Attchd,1965,Fin,276.0,TA,TA,Y,736,68,0,0,0,0,0,6,WD ,147500
41,20,RL,107.0,13891,Pave,4,Lvl,4,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,GasA,5,Y,5,0,0,2076,1.0,0.0,2,1,2,1,5,8,1,Attchd,2006,Fin,850.0,TA,TA,Y,216,229,0,0,0,0,0,9,New,465000
42,85,RL,83.25,9101,Pave,3,Lvl,4,Corner,1,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,1,0.0,0.0,1097.0,GasA,5,Y,5,0,0,1110,1.0,0.0,1,0,1,1,4,8,1,Attchd,1978,Fin,602.0,TA,TA,Y,303,30,0,0,0,0,0,7,WD ,165500
43,50,RM,81.0,12150,Pave,4,Lvl,4,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,1050.0,1050.0,GasA,5,N,3,745,0,1795,0.0,0.0,2,0,4,1,3,8,0,Attchd,1954,Unf,352.0,Fa,TA,Y,0,0,0,0,0,0,0,11,WD ,131500
44,20,RL,70.0,11200,Pave,4,Lvl,4,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,Y,5,0,0,1040,1.0,0.0,1,0,3,1,3,8,0,Detchd,1965,Unf,384.0,TA,TA,Y,0,0,0,0,0,0,0,2,WD ,129500
45,70,RL,100.0,9670,Pave,3,HLS,4,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,1,0.0,398.0,608.0,GasA,3,Y,5,890,0,1873,0.0,0.0,1,1,4,1,3,8,2,Detchd,1935,Fin,786.0,Fa,TA,Y,0,0,207,0,0,0,0,6,WD ,257076
46,50,RL,60.0,10998,Pave,4,Lvl,4,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,4,420.0,156.0,984.0,GasA,5,Y,5,620,0,1604,0.0,0.0,2,0,3,1,3,6,0,Detchd,1977,Unf,660.0,TA,TA,Y,0,68,0,0,0,0,0,7,WD ,117000
47,70,RL,60.0,7200,Pave,4,HLS,4,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,1,0.0,776.0,776.0,GasA,3,Y,5,651,0,1502,0.0,0.0,1,1,3,1,3,8,1,Attchd,1931,RFn,270.0,TA,TA,P,0,0,112,0,0,0,0,2,WD ,149000
48,20,RL,80.0,9920,Pave,4,Lvl,4,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,2,290.0,412.0,1056.0,GasA,3,Y,5,0,0,1063,1.0,0.0,1,0,3,1,3,8,0,Attchd,1954,RFn,280.0,TA,TA,Y,0,0,164,0,0,0,0,2,WD ,128000
49,160,RL,36.0,2448,Pave,4,Lvl,4,Inside,1,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,1,0.0,764.0,764.0,GasA,5,Y,5,862,0,1626,0.0,0.0,2,1,2,1,4,8,0,BuiltIn,2003,RFn,474.0,TA,TA,Y,0,27,0,0,0,0,0,10,WD ,155000
50,160,FV,66.759571,2998,Pave,4,Lvl,4,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,1,0.0,403.0,756.0,GasA,5,Y,5,756,0,1524,0.0,0.0,2,1,2,1,4,8,0,Detchd,2000,Unf,440.0,TA,TA,Y,0,32,0,0,0,0,0,6,WD ,166000
51,50,RL,65.0,7804,Pave,4,Lvl,4,Inside,1,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,1,0.0,500.0,1122.0,GasA,3,Y,5,653,0,1981,1.0,0.0,2,0,4,1,4,6,2,Detchd,1981,Unf,576.0,TA,TA,Y,431,44,0,0,0,0,0,12,WD ,135000
52,60,RL,80.0,16692,Pave,3,Lvl,4,Inside,1,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,2,469.0,133.0,1392.0,GasA,3,Y,5,1392,0,2784,1.0,0.0,3,1,5,1,4,8,2,Attchd,1978,RFn,564.0,TA,TA,Y,0,112,0,0,440,519,2000,7,WD ,250000
53,160,RM,21.0,1476,Pave,4,Lvl,4,Inside,1,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,1,6,176.0,1,0.0,370.0,546.0,GasA,5,Y,5,546,0,1092,0.0,0.0,1,1,3,1,3,8,0,NA,NA,NA,0.0,NA,NA,Y,200,26,0,0,0,0,0,3,WD ,76000
54,20,RL,75.0,10170,Pave,4,Lvl,4,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,216.0,216.0,GasA,3,Y,5,0,0,1575,0.0,0.0,1,1,2,1,4,8,1,Attchd,1951,Unf,400.0,TA,TA,Y,0,0,0,0,0,0,0,6,WD ,155000
55,60,RL,80.0,9364,Pave,4,Lvl,4,Corner,1,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3,3,1,5,371.0,1,0.0,292.0,663.0,GasA,3,Y,5,689,0,1352,0.0,0.0,1,1,4,1,3,8,0,Attchd,1969,Fin,299.0,TA,TA,Y,379,36,0,0,0,0,0,3,WD ,158000
56,160,FV,24.0,2544,Pave,4,Lvl,4,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,368.0,5,42.0,190.0,600.0,GasA,5,Y,5,600,0,1200,1.0,0.0,2,1,2,1,4,8,0,Detchd,2004,RFn,480.0,TA,TA,Y,0,172,0,0,0,0,0,2,WD ,149500
57,20,RL,82.0,9888,Pave,4,Lvl,4,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1975,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,4,486.0,1,0.0,450.0,936.0,GasA,3,Y,4,0,0,936,0.0,0.0,1,0,2,1,3,8,0,Attchd,1954,Unf,240.0,TA,TA,Y,0,0,160,0,0,0,0,3,WD ,121000
58,20,RL,68.0,7942,Pave,4,Lvl,4,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,7,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,85.0,5,955.0,0.0,1040.0,GasA,3,Y,3,0,0,1040,0.0,1.0,1,0,3,1,3,8,0,Attchd,1953,Fin,293.0,TA,TA,Y,0,0,0,0,0,0,0,6,WD ,136000
